name,theaters,total_gross,release_date,distributor
Spider-Man: No Way Home,4336,804793477,2022-12-17,Sony Pictures Entertainment (SPE)
Top Gun: Maverick,4751,718732821,2022-05-27,Paramount Pictures
Avatar: The Way of Water,4340,684045324,2022-12-16,20th Century Studios
Black Panther: Wakanda Forever,4396,453829060,2022-11-11,Walt Disney Studios Motion Pictures
Doctor Strange in the Multiverse of Madness,4534,411331607,2022-05-06,Walt Disney Studios Motion Pictures
Jurassic World: Dominion,4697,376851080,2022-06-10,Universal Pictures
Minions: The Rise of Gru,4427,369695210,2022-07-01,Universal Pictures
The Batman,4417,369345583,2022-03-04,Warner Bros.
Thor: Love and Thunder,4375,343256830,2022-07-08,Walt Disney Studios Motion Pictures
Venom: Let There Be Carnage,4225,213550366,2022-10-01,Sony Pictures Entertainment (SPE)
Sonic the Hedgehog 2,4258,190872904,2022-04-08,Paramount Pictures
Puss in Boots: The Last Wish,4121,185535345,2022-12-21,Universal Pictures
Black Adam,4402,168152111,2022-10-21,Warner Bros.
Sing 2,3892,162790990,2022-12-22,Universal Pictures
Elvis,3932,151040048,2022-06-24,Warner Bros.
Uncharted,4275,148648820,2022-02-18,Sony Pictures Entertainment (SPE)
Ghostbusters: Afterlife,4315,129360575,2022-11-19,Sony Pictures Entertainment (SPE)
Nope,3807,123277080,2022-07-22,Universal Pictures
Lightyear,4255,118307188,2022-06-17,Walt Disney Studios Motion Pictures
Dune,4125,108327830,2022-10-22,Warner Bros.
Smile,3659,105935048,2022-09-30,Paramount Pictures
The Lost City,4283,105344029,2022-03-25,Paramount Pictures
Bullet Train,4357,103368602,2022-08-05,Sony Pictures Entertainment (SPE)
The Bad Guys,4042,97233630,2022-04-22,Universal Pictures
Encanto,3980,96093622,2022-11-24,Walt Disney Studios Motion Pictures
Fantastic Beasts: The Secrets of Dumbledore,4245,95850844,2022-04-15,Warner Bros.
DC League of Super-Pets,4332,93657117,2022-07-29,Warner Bros.
Where the Crawdads Sing,3650,90230760,2022-07-15,Sony Pictures Entertainment (SPE)
The Black Phone,3156,90123230,2022-06-24,Universal Pictures
Scream,3666,81641405,2022-01-14,Paramount Pictures
Everything Everywhere All at Once,2220,77191785,2022-03-25,A24
Morbius,4268,73865530,2022-04-01,Columbia Pictures
Ticket to Paradise,4066,68275985,2022-10-21,Universal Pictures
The Woman King,3765,67328130,2022-09-16,TriStar Pictures
Halloween Ends,3901,64079860,2022-10-14,Universal Pictures
Dog,3827,61778069,2022-02-18,United Artists Releasing
Jackass Forever,3653,57743451,2022-02-04,Paramount Pictures
House of Gucci,3477,53809574,2022-11-24,United Artists Releasing
Violent Night,3723,50057405,2022-12-02,Universal Pictures
"Lyle, Lyle, Crocodile",4350,46888441,2022-10-07,Sony Pictures Entertainment (SPE)
Death on the Nile,3420,45630104,2022-02-11,20th Century Studios
Don't Worry Darling,4121,45309403,2022-09-23,Warner Bros.
Downton Abbey: A New Era,3830,44141550,2022-05-20,Focus Features
Barbarian,2890,40842944,2022-09-09,20th Century Studios
West Side Story,2820,38530322,2022-12-10,20th Century Studios
The Menu,3228,38501125,2022-11-18,Searchlight Pictures
